bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_10750,bus_11016,bus_13000,bus_13366,bus_13420,bus_13446,bus_13504,bus_20000,bus_20007,bus_20026,bus_20136,bus_21121,bus_21647,bus_23017,bus_23054,bus_23060,bus_23263,bus_23377,bus_25160,bus_25289,bus_25375,bus_25403,bus_25439,bus_25598,bus_25618,bus_25675,bus_25714,bus_25830,bus_26100,bus_26133,bus_28078,bus_28099,bus_28122,bus_28365,bus_28549,bus_28667,bus_30001,bus_30144,bus_30146,bus_30205,bus_30207,bus_30220,bus_30221,bus_30374,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40160,bus_40162,bus_40279,bus_40281,bus_40367,bus_40369,bus_40595,bus_40602,bus_40691,bus_40787,bus_40844,bus_40961,bus_40994,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_60000,bus_60003,bus_60194,bus_60577,bus_70000,bus_70016,bus_70063,bus_70155,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_80007
0.0,0.0,0.0,25125.7776,0.0,220945.23360000004,107047.31519999998,0.0,0.0,234.3936,0.0,11724.972,308739.9168,459975.6672,4834.451999999999,21408.4416,0.0,64526.9856,445854.0743999999,0.0,3476.6088,31463.7288,104209.10639999999,0.0,0.0,0.0,11393.054399999999,33242.5464,0.0,0.0,0.0,730.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.004,0.0,0.0,0.0,0.0,53898.448800000006,0.0,0.0,0.0,0.0,0.0,9997.512,0.0,18884.3592,0.0,0.0,0.0,0.0,0.0,302.2152,0.0,0.0,0.0,0.0,84763.2576,0.0,0.0,0.0,0.0,913.4832,0.0,2640.2544,4050.984,0.0,0.0,0.0,1481.2728,14844.782399999996,243.31439999999998,0.0,3323.9472,0.0,4457.3088,0.0,4170.448799999999,8834.716799999998,2138.7072,17607.5256,116268.264,12283.740000000002,0.0,0.0
0.0,0.0,0.0,24848.3088,0.0,237203.7528,116972.772,0.0,0.0,233.0328,0.0,13205.9592,332145.2232,452817.372,10297.7448,22003.430399999997,0.0,69092.0664,489862.6656,0.0,6512.251200000001,31231.502399999998,110583.69840000001,0.0,0.0,0.0,9346.679999999998,27381.7488,0.0,0.0,0.0,724.8864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0904,0.0,0.0,0.0,0.0,55393.077600000004,0.0,0.0,0.0,0.0,0.0,10023.0816,0.0,20648.3256,0.0,0.0,0.0,0.0,0.0,255.8976,0.0,0.0,0.0,0.0,85876.896,0.0,0.0,0.0,0.0,1097.3424,0.0,3073.7952000000005,4057.7207999999996,0.0,0.0,0.0,1509.48,15361.3992,351.47279999999995,0.0,3434.6423999999997,0.0,4564.207200000001,0.0,4765.8912,8643.751199999999,2673.1992,18010.692000000003,113321.98079999999,11374.692000000001,0.0,27.7032
0.0,0.0,0.0,26603.1528,0.0,252323.36639999997,130874.3184,0.0,0.0,264.8184,0.0,20327.1096,352891.7616,605714.76,14457.1392,39774.5376,0.0,78131.4408,556538.3544000001,0.0,10232.3928,55356.94080000001,240378.348,0.0,0.0,0.0,19664.954400000002,54590.55840000002,0.0,0.0,0.0,932.9544000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.3176,0.0,0.0,0.0,0.0,57261.422399999996,0.0,0.0,0.0,0.0,0.0,10023.921600000001,0.0,22083.196799999998,0.0,0.0,0.0,0.0,0.0,217.3248,0.0,0.0,0.0,0.0,86328.3288,0.0,0.0,0.0,0.0,1389.0408,0.0,3732.2039999999997,4063.5,0.0,0.0,0.0,1536.8136,15348.446399999999,479.4552,0.0,3594.4439999999995,0.0,5568.981600000001,0.0,5514.6,8147.160000000001,3643.668,18005.064,110568.528,10921.0752,0.0,120.54
0.0,0.0,0.0,26603.1528,0.0,290848.8408,137592.588,0.0,0.0,370.944,0.0,24823.8648,353362.5648,584404.6152,13963.437600000001,56182.7952,0.0,91564.5024,591525.3624,0.0,9526.524,66662.1816,245518.07280000002,0.0,0.0,0.0,14524.8096,61441.6824,0.0,0.0,0.0,1002.6744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3703.6608,0.0,0.0,0.0,0.0,59495.923200000005,0.0,0.0,0.0,0.0,0.0,10021.9224,0.0,22964.743199999997,0.0,0.0,0.0,0.0,0.0,189.4032,0.0,0.0,0.0,0.0,86082.6288,0.0,0.0,0.0,0.0,1554.0336,0.0,4531.3296,4067.5992,0.0,0.0,0.0,1562.6352,13938.019199999997,490.2072,0.0,3811.6344,0.0,5080.3872,0.0,6154.075200000001,7553.767200000001,3830.0808,20023.248,107825.1048,10702.0536,0.0,218.65200000000002
0.0,0.0,0.0,26306.8512,0.0,280693.14,122807.00880000003,0.0,0.0,316.52880000000005,0.0,24499.6752,344575.8456,570620.316,7187.1912,52647.15119999999,0.0,98999.4768,587710.116,0.0,4992.456,49632.66,233160.17760000005,0.0,0.0,0.0,10103.7048,73980.1104,0.0,0.0,0.0,1160.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2239.9103999999998,0.0,0.0,0.0,0.0,62075.58,0.0,0.0,0.0,0.0,0.0,10021.284,0.0,23217.8352,0.0,0.0,0.0,0.0,0.0,174.8208,0.0,0.0,0.0,0.0,85147.20479999999,0.0,0.0,0.0,0.0,1787.6208,0.0,4289.913600000001,4069.8672,0.0,0.0,0.0,1587.8352000000002,10379.8968,485.5032,0.0,4106.1215999999995,0.0,4888.480799999999,0.0,5222.7336000000005,6855.441600000001,4272.2064,19603.063199999997,107232.3336,10609.754400000002,0.0,320.376
0.0,0.0,0.0,25839.256800000003,0.0,261932.52959999995,132498.66,0.0,0.0,413.448,0.0,22883.666400000006,328597.0464,550873.0247999999,14781.211199999998,59650.9368,0.0,112966.308,569526.048,0.0,10479.9408,42539.851200000005,266350.6944,0.0,0.0,0.0,14638.4952,74793.83520000002,0.0,0.0,0.0,1458.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.9064,0.0,0.0,0.0,0.0,64965.415199999996,0.0,0.0,0.0,0.0,0.0,10024.140000000001,0.0,23792.042400000002,0.0,0.0,0.0,0.0,0.0,175.96320000000003,0.0,0.0,0.0,0.0,83571.5496,0.0,0.0,0.0,0.0,2129.3831999999998,0.0,4603.4184,4049.8584,0.0,0.0,0.0,1614.9,12253.365599999997,467.376,0.0,4480.3248,0.0,5001.5784,0.0,5247.48,6226.3488,5469.8784,20193.3144,103184.57519999999,10593.1392,0.0,424.3512
0.0,0.0,0.0,26603.1528,0.0,291205.0008,138147.69359999997,0.0,0.0,1599.0911999999998,0.0,31730.361600000004,340673.3232,522541.31999999995,14228.995200000001,70669.31759999998,0.0,160523.2104,642300.8927999999,0.0,9608.6424,43620.66240000001,307610.6544,0.0,0.0,0.0,21668.5728,69483.48959999999,0.0,0.0,0.0,2304.7752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166.907200000001,0.0,0.0,0.0,0.0,68117.0952,0.0,0.0,0.0,0.0,0.0,10150.8288,0.0,23634.2064,0.0,0.0,0.0,0.0,0.0,193.5528,0.0,0.0,0.0,0.0,81444.3,0.0,0.0,0.0,0.0,3962.9184,0.0,6411.0984,4014.4776,0.0,0.0,0.0,1647.6096,13593.568800000001,449.34960000000007,0.0,4979.066400000001,0.0,6106.1784,0.0,10726.800000000001,7181.4624,7529.524800000001,26636.1984,151187.09759999998,10629.6456,0.0,529.5192
0.0,0.0,0.0,26603.1528,0.0,305532.94800000003,120822.47519999999,0.0,0.0,1003.4807999999999,0.0,31083.36,362403.36720000004,586522.9776,12805.548,68645.6232,0.0,224741.9328,758202.6144000001,0.0,7267.2768,38591.3472,254157.01919999998,0.0,0.0,0.0,21543.631200000003,61293.85919999999,0.0,0.0,0.0,1463.1119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5643.120000000001,0.0,0.0,0.0,0.0,71469.7032,0.0,0.0,0.0,0.0,0.0,10148.661600000001,0.0,23541.6048,0.0,0.0,0.0,0.0,0.0,229.7064,0.0,0.0,0.0,0.0,78888.29759999999,0.0,0.0,0.0,0.0,3833.8608,0.0,6786.0576,4382.3304,0.0,0.0,0.0,1690.8359999999998,14396.373599999997,393.9432,0.0,5589.645599999999,0.0,5670.6215999999995,0.0,12383.279999999999,10768.749600000003,7662.9504000000015,26351.0352,130558.41119999999,10710.7224,0.0,635.0568
0.0,0.0,0.0,26603.1528,0.0,324804.6312,135920.5512,0.0,0.0,1633.3632,0.0,31572.055200000006,361342.296,590181.1608000001,14122.634399999999,63016.3128,0.0,227363.8248,762476.7696,0.0,9038.8032,37659.3504,274396.2984000001,0.0,0.0,0.0,22593.984,64917.182400000005,0.0,0.0,0.0,2007.3144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4915.7807999999995,0.0,0.0,0.0,0.0,74951.7552,0.0,0.0,0.0,0.0,0.0,10111.5504,0.0,22759.329599999997,0.0,0.0,0.0,0.0,0.0,284.3064,0.0,0.0,0.0,0.0,76053.3144,0.0,0.0,0.0,0.0,4226.4936,0.0,8857.380000000001,4830.6888,0.0,0.0,0.0,1750.0056000000002,15072.220800000001,410.27279999999996,0.0,6342.403200000001,0.0,5664.792,0.0,14250.2976,10092.8688,8349.4992,23020.048799999997,128664.12719999999,10834.5048,0.0,740.4264000000001
0.0,0.0,0.0,26603.1528,0.0,331836.97679999995,131711.2608,0.0,0.0,1706.4263999999998,0.0,31730.361600000004,377966.2656,615525.1704,14188.171199999997,69978.28319999999,0.0,276080.1792,851035.2816,0.0,9678.9504,85887.4296,430659.98640000005,0.0,0.0,0.0,33766.454399999995,111710.9112,0.0,0.0,0.0,3297.5712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5510.282399999999,0.0,0.0,0.0,0.0,78483.384,0.0,0.0,0.0,0.0,0.0,10084.0488,0.0,22116.9144,0.0,0.0,0.0,0.0,0.0,355.63919999999996,0.0,0.0,0.0,0.0,73107.4344,0.0,0.0,0.0,0.0,5522.445599999999,0.0,11321.452800000001,16045.3104,0.0,0.0,0.0,1830.8304,16900.6824,548.3016,0.0,7333.0824,0.0,5875.9848,0.0,18778.1664,12195.3216,9929.757599999999,23255.484,138225.6288,11001.7488,0.0,845.3088
